Employee_Id,checkInDate,check_in,check_out
34,08/02/2023,11:31:47,-
34,08/03/2023,-,-
34,08/04/2023,-,-
34,08/05/2023,-,-
34,08/07/2023,-,-
34,08/08/2023,11:36:40,-
34,08/09/2023,11:32:10,-
34,08/10/2023,11:24:53,-
34,08/11/2023,-,-
34,08/12/2023,-,-
34,8/15/2023,11:27:14,-
34,8/16/2023,11:28:19,-
34,8/17/2023,11:29:05,-
34,8/18/2023,11:24:18,-
34,8/19/2023,11:22:26,-
34,8/21/2023,11:24:21,-
34,8/22/2023,-,-
35,08/01/2023,-,-
35,08/02/2023,-,-
35,08/03/2023,11:10:47,-
35,08/04/2023,11:14:55,-
35,08/05/2023,11:13:32,-
35,08/07/2023,11:16:33,-
35,08/08/2023,11:16:31,-
35,08/09/2023,11:22:13,-
35,08/10/2023,11:22:20,-
35,08/11/2023,11:21:53,-
35,08/12/2023,11:28:17,-
35,8/15/2023,11:21:49,-
35,8/16/2023,11:25:29,-
35,8/17/2023,11:22:13,-
35,8/18/2023,11:20:57,-
35,8/19/2023,11:17:05,-
35,8/21/2023,11:17:20,-
35,8/22/2023,11:22:39,22:23:20
36,08/01/2023,11:45:48,19:03:43
36,08/02/2023,11:41:09,20:58:35
36,08/03/2023,11:35:01,20:11:34
36,08/04/2023,11:44:20,19:23:18
36,08/05/2023,11:45:48,19:05:09
36,08/07/2023,11:49:04,21:25:41
36,08/08/2023,11:40:42,19:55:03
36,08/09/2023,11:40:07,21:42:59
36,08/10/2023,11:35:19,19:18:04
36,08/11/2023,11:43:29,19:16:59
36,08/12/2023,11:43:40,22:03:12
36,8/15/2023,11:45:58,19:14:23
36,8/16/2023,11:41:02,18:57:31
36,8/17/2023,11:38:04,19:01:12
36,8/18/2023,11:54:12,18:59:08
36,8/19/2023,11:47:08,18:59:20
36,8/21/2023,11:49:08,19:08:21
36,8/22/2023,-,-
37,08/01/2023,12:08:57,20:32:39
37,08/02/2023,11:59:53,20:24:31
37,08/03/2023,11:53:52,20:20:55
37,08/04/2023,11:59:12,20:18:31
37,08/05/2023,-,-
37,08/07/2023,12:04:09,20:31:58
37,08/08/2023,11:52:32,20:37:21
37,08/09/2023,11:54:03,20:19:54
37,08/10/2023,13:50:30,20:17:24
37,08/11/2023,11:58:29,20:15:31
37,08/12/2023,-,-
37,8/15/2023,12:02:41,20:29:49
37,8/16/2023,13:29:32,20:17:36
37,8/17/2023,12:02:08,20:18:49
37,8/18/2023,11:48:31,20:19:21
37,8/19/2023,-,-
37,8/21/2023,11:45:40,20:19:40
37,8/22/2023,11:50:21,20:44:54
38,08/01/2023,11:40:14,21:14:01
38,08/02/2023,11:42:45,21:03:19
